name,slug,%,date_of_information,ranking,region
"Haiti","haiti","7.1","2025",150,"Central America and the Caribbean"
"Mali","mali","6.9","2025",151,"Africa"
"Guinea-Bissau","guinea-bissau","6.7","2025",152,"Africa"
"Tanzania","tanzania","6.5","2025",153,"Africa"
"Chad","chad","6.5","2025",154,"Africa"
"Liberia","liberia","6.4","2025",155,"Africa"
"Malawi","malawi","6.3","2025",156,"Africa"
"Barbados","barbados","6.2","2025",157,"Central America and the Caribbean"
"Peru","peru","5.7","2025",158,"South America"
"Senegal","senegal","5.4","2025",159,"Africa"
"Cameroon","cameroon","5","2025",160,"Africa"
"Togo","togo","5","2025",161,"Africa"
"Turkmenistan","turkmenistan","4.8","2025",162,"Central Asia"
"Benin","benin","4.8","2025",163,"Africa"
"Ethiopia","ethiopia","4.5","2025",164,"Africa"
"Uganda","uganda","4.5","2025",165,"Africa"
"Panama","panama","4.5","2025",166,"Central America and the Caribbean"
"Ghana","ghana","2.8","2025",167,"Africa"
"Nigeria","nigeria","2.6","2025",168,"Africa"
